titleId,ordering,title,region,language,types,attributes,isOriginalTitle
tt0035423,39,Kate and Leopold,US,\N,\N,alternative spelling,0
tt0035423,42,Kate & Leopold,US,\N,imdbDisplay,\N,0
tt0113026,13,The Fantasticks,US,\N,imdbDisplay,\N,0
tt0113092,17,Final Encounter,US,\N,dvd,\N,0
tt0113092,2,For the Cause,US,\N,imdbDisplay,\N,0
tt0114447,4,The Silent Force,US,\N,imdbDisplay,\N,0
tt0115937,1,Consequence,US,\N,imdbDisplay,\N,0
tt0116391,4,Gang,US,\N,imdbDisplay,\N,0
tt0116628,7,Agency Incorporated,US,\N,\N,director's cut,0
tt0116628,8,The Incorporated,US,\N,imdbDisplay,\N,0
tt0116847,3,Leftovers,US,\N,imdbDisplay,\N,0
tt0116916,2,The Lord Protector,US,\N,imdbDisplay,\N,0
tt0116916,4,Lord Protector,US,\N,working,\N,0
tt0116916,9,Lord Protector: The Riddle of the Chosen,US,\N,dvd,\N,0
tt0118589,1,Glitter and Gold,US,\N,working,\N,0
tt0118589,24,Glitter,US,\N,imdbDisplay,\N,0
tt0118589,9,All That Glitters,US,\N,working,\N,0
tt0118652,4,The Attic Expeditions,US,\N,imdbDisplay,\N,0
tt0118694,55,In the Mood for Love,US,\N,imdbDisplay,\N,0
tt0118710,3,Beyond the Pale,US,\N,imdbDisplay,\N,0
tt0118852,5,Chinese Coffee,US,\N,imdbDisplay,\N,0
tt0119004,15,Don's Plum,US,\N,imdbDisplay,\N,0
tt0119004,6,Saturday Night Club,US,\N,working,\N,0
tt0119273,10,F.A.K.K.2,US,\N,working,\N,0
tt0119273,18,Heavy Metal: F.A.K.K.,US,\N,working,\N,0
tt0119273,21,Heavy Metal: F.A.K.K.²,US,\N,working,\N,0
tt0119273,5,Heavy Metal 2000,US,\N,imdbDisplay,\N,0
tt0119273,8,FAKK2,US,\N,working,\N,0
tt0119495,3,Language of Love,US,\N,working,\N,0
tt0119495,4,Love 101,US,\N,imdbDisplay,\N,0
tt0119645,1,Meet the Mosaics,US,\N,imdbDisplay,\N,0
tt0119806,2,Nothing Sacred,US,\N,imdbDisplay,\N,0
tt0119966,1,Pushing the Envelope,US,\N,imdbDisplay,\N,0
tt0120166,2,The Sorcerer's Apprentice,US,\N,imdbDisplay,\N,0
tt0120202,16,State & Main,US,\N,\N,alternative spelling,0
tt0120202,19,State and Main,US,\N,imdbDisplay,\N,0
tt0120263,26,Songs from the Second Floor,US,\N,imdbDisplay,\N,0
tt0120467,1,Vulgar,US,\N,imdbDisplay,\N,0
tt0120605,2,"Berlin Diaries, 1940-45",US,\N,imdbDisplay,\N,0
tt0120624,2,Camarate,US,\N,imdbDisplay,\N,0
tt0120626,6,April Captains,US,\N,imdbDisplay,\N,0
tt0120630,26,C:R-1,US,\N,\N,promotional abbreviation,0
tt0120630,58,Chicken One,US,\N,working,\N,0
tt0120630,8,Chicken Run,US,\N,imdbDisplay,\N,0
tt0120673,1,Foiled,US,\N,imdbDisplay,\N,0
tt0120681,20,From Hell,US,\N,imdbDisplay,\N,0
tt0120681,6,Jack,US,\N,working,\N,0
tt0120698,3,The Highwayman,US,\N,imdbDisplay,\N,0
tt0120729,2,Last Flight of the Raven,US,\N,imdbDisplay,\N,0
tt0120733,9,Lion of Oz,US,\N,imdbDisplay,\N,0
tt0120737,12,The Lord of the Rings: The Fellowship of the Ring: The Motion Picture,US,\N,\N,promotional title,0
tt0120737,3,The Fellowship of the Ring,US,\N,\N,short title,0
tt0120737,48,The Lord of the Rings: The Fellowship of the Ring,US,\N,imdbDisplay,\N,0
